ds,yhat,yhat_lower,yhat_upper,sku,run_id,type
2022-07-17,12.484776972557514,6.6730384825704885,18.385404557511354,Viral Spike,20251207_2248,forecast
2022-07-18,9.450892346060167,2.937263712715979,15.98438190596726,Viral Spike,20251207_2248,forecast
2022-07-19,9.349617579469802,3.111866694446475,15.825596416857115,Viral Spike,20251207_2248,forecast
2022-07-20,9.565015169235723,3.428850989800765,15.86911098823169,Viral Spike,20251207_2248,forecast
2022-07-21,9.39448305180339,3.2192262851523483,15.42204697067644,Viral Spike,20251207_2248,forecast
2022-07-22,9.29621886048007,3.230389932010899,15.202422162998838,Viral Spike,20251207_2248,forecast
2022-07-23,11.52705142397469,5.343967059489464,17.39143057406063,Viral Spike,20251207_2248,forecast
2022-07-24,11.690789123190381,5.425213620629856,17.693874774190157,Viral Spike,20251207_2248,forecast
2022-07-25,8.87909157891082,2.842147356708981,15.81989087828245,Viral Spike,20251207_2248,forecast
2022-07-27,9.467770635869508,3.656226382770771,15.559333786488867,Viral Spike,20251207_2248,forecast
2022-07-28,9.513622042587995,3.290189812889458,15.325287370274221,Viral Spike,20251207_2248,forecast
2022-07-29,9.611017624778897,3.282632155650143,15.641794775598521,Viral Spike,20251207_2248,forecast
2022-07-30,12.026555974155501,5.784556656940712,18.009160678247266,Viral Spike,20251207_2248,forecast
2022-07-31,12.329803927356833,6.041640471254916,18.398062719928653,Viral Spike,20251207_2248,forecast
2022-08-01,9.602714162431466,3.63949023389356,15.445345423010954,Viral Spike,20251207_2248,forecast
2022-08-02,9.808907885452351,3.7520918875408027,15.780844588755512,Viral Spike,20251207_2248,forecast
2022-08-03,10.288601775670891,4.13031118301458,15.98250196558376,Viral Spike,20251207_2248,forecast
2022-08-04,10.322795101872384,4.2185037297618555,16.193487713782307,Viral Spike,20251207_2248,forecast
2022-08-05,10.370655110544071,3.996066583322058,16.652479680587938,Viral Spike,20251207_2248,forecast
2022-08-06,12.71601432953661,6.502540939657358,18.76637123991588,Viral Spike,20251207_2248,forecast
2022-08-07,12.901909221605266,6.424098403265441,19.115628181039273,Viral Spike,20251207_2248,forecast
2022-08-08,10.008310050943301,3.625243157718445,15.827925844204866,Viral Spike,20251207_2248,forecast
2022-08-09,10.043646489916005,3.9054771074104346,15.52427924242653,Viral Spike,20251207_2248,forecast
2022-08-10,10.33598287477659,4.3764499961859045,17.15158889354998,Viral Spike,20251207_2248,forecast
2022-08-11,10.167672395574453,3.9237367174837625,16.33364426856601,Viral Spike,20251207_2248,forecast
2022-08-12,10.00741583434735,3.9380103500385486,16.183988824996952,Viral Spike,20251207_2248,forecast
2022-08-13,12.160820963215954,6.18803931059644,17.99624044636753,Viral Spike,20251207_2248,forecast
2022-08-14,12.147790143385302,5.982153985888742,18.10527368864255,Viral Spike,20251207_2248,forecast
2022-08-15,9.048465115781777,2.763078394830187,15.66829385523488,Viral Spike,20251207_2248,forecast
2022-08-16,8.916936513963652,2.7150537528090597,15.24499478091305,Viral Spike,20251207_2248,forecast
2022-08-17,9.06864844336142,2.947460332786925,15.500903960907747,Viral Spike,20251207_2248,forecast
2022-08-18,8.78554123969855,2.529112314957748,14.807185928670151,Viral Spike,20251207_2248,forecast
2022-08-19,8.542844780058662,2.401324631363052,14.975321867513246,Viral Spike,20251207_2248,forecast
2022-08-20,10.663798909053694,4.656174071521617,16.30268338534477,Viral Spike,20251207_2248,forecast
2022-08-21,10.640023489655682,4.716656953199752,16.55550799243228,Viral Spike,20251207_2248,forecast
2022-08-22,7.5458419778599115,1.5955914706385281,13.557338238181204,Viral Spike,20251207_2248,forecast
2022-08-23,7.474363916977717,1.0951831438335835,13.436752214054549,Viral Spike,20251207_2248,forecast
2022-08-24,7.721327222717566,1.5102875806614109,14.071381930309009,Viral Spike,20251207_2248,forecast
2022-08-25,7.560950705614717,1.4858634609390493,13.690920334093166,Viral Spike,20251207_2248,forecast
2022-08-26,7.467689086484078,1.7409524050523617,13.742389780132308,Viral Spike,20251207_2248,forecast
2022-08-27,9.775340468960295,3.9235785877576177,16.22506584214276,Viral Spike,20251207_2248,forecast
2022-08-28,9.940616745356104,3.7419605520673325,15.492356275335965,Viral Spike,20251207_2248,forecast
2022-08-29,7.026049005206641,1.3009122388824799,12.952550943187552,Viral Spike,20251207_2248,forecast
2022-08-30,7.158624941484385,1.166225440301988,13.203611697438033,Viral Spike,20251207_2248,forecast
2022-08-31,7.610224052605454,1.6149242487626072,13.858708566738384,Viral Spike,20251207_2248,forecast
2022-09-01,7.644303660804132,1.286303291883879,13.781739322246754,Viral Spike,20251207_2248,forecast
2022-09-02,7.732704110869657,1.7731649032898902,13.990286586865757,Viral Spike,20251207_2248,forecast
2022-09-03,10.219193845743428,4.115608632041439,16.527237552985888,Viral Spike,20251207_2248,forecast
2022-09-04,10.526251318746358,4.433264513931385,16.301952039283815,Viral Spike,20251207_2248,forecast
2022-09-05,7.706523730995716,0.9775100432766676,14.548035900836505,Viral Spike,20251207_2248,forecast
2022-09-06,7.923952177176243,1.7033078888518711,14.073396376524869,Viral Spike,20251207_2248,forecast
2022-09-07,8.430696123233028,2.363393053500556,14.598024950557397,Viral Spike,20251207_2248,forecast
2022-09-08,8.484516147237938,2.26884419099417,14.249809952504368,Viral Spike,20251207_2248,forecast
2022-09-09,8.56046379135,2.4215107839540746,14.715952276295566,Viral Spike,20251207_2248,forecast
2022-09-10,11.018675226818777,4.501881533700146,16.856880331380513,Viral Spike,20251207_2248,forecast
2022-09-11,11.254158185207052,5.501237617888681,17.1877406095121,Viral Spike,20251207_2248,forecast
2022-09-12,8.31658661674293,1.9399983522113222,14.366270223497171,Viral Spike,20251207_2248,forecast
2022-09-13,8.413692146175983,2.5396837998686306,14.501723602783207,Viral Spike,20251207_2248,forecast
2022-09-14,8.784459399778202,2.463903830889955,14.812541328059437,Viral Spike,20251207_2248,forecast
2022-09-15,8.6869969701555,2.7361735641556786,14.541087918432186,Viral Spike,20251207_2248,forecast
2022-09-16,8.604919967869854,2.594736155873004,15.03893913175763,Viral Spike,20251207_2248,forecast
2022-09-17,10.919222961260823,4.641586987875654,17.231419637229806,Viral Spike,20251207_2248,forecast
2022-09-18,11.00093063097248,4.922116384197153,17.350974415887872,Viral Spike,20251207_2248,forecast
2022-09-19,7.899119566435435,2.119938855761484,13.844263086320945,Viral Spike,20251207_2248,forecast
2022-09-20,7.866503230922615,2.0098232754875,14.085802143868774,Viral Spike,20251207_2248,forecast
2022-09-21,8.128863645516452,1.7130789226242753,14.244089429669959,Viral Spike,20251207_2248,forecast
2022-09-22,7.943415504629417,1.9443145557960035,14.309361538572805,Viral Spike,20251207_2248,forecast
2022-09-23,7.7999256329619415,1.8035596266843998,14.201259659341915,Viral Spike,20251207_2248,forecast
2022-09-24,10.09674728918445,3.7104729276854043,16.59657596283983,Viral Spike,20251207_2248,forecast
2022-09-25,10.176451909778713,4.084394471383366,16.36872155295273,Viral Spike,20251207_2248,forecast
2022-09-26,7.08222694727201,1.4226248149211371,12.69314658837182,Viral Spike,20251207_2248,forecast
2022-09-27,7.105830027755569,0.46035114907204516,13.315477213683623,Viral Spike,20251207_2248,forecast
2022-09-28,7.4534538266873716,1.364998110367618,13.333508470578117,Viral Spike,20251207_2248,forecast
2022-09-29,7.3747949976982445,1.4934450726726514,13.686610509691837,Viral Spike,20251207_2248,forecast
2022-09-30,7.3591302046751235,0.7663321553590713,13.272416520874975,Viral Spike,20251207_2248,forecast
2022-10-01,9.815732363399963,3.5748428556256964,16.151936826229676,Viral Spike,20251207_2248,forecast
2022-10-02,10.052697792802816,3.6757911905704512,16.282011245632557,Viral Spike,20251207_2248,forecast
2022-10-03,7.101921167086545,0.753264189264838,13.17757582020393,Viral Spike,20251207_2248,forecast
2022-10-04,7.2896000958320855,1.2533857070892742,13.27865921377939,Viral Spike,20251207_2248,forecast
2022-10-05,7.798688589799201,1.6425625270685844,13.930032183362488,Viral Spike,20251207_2248,forecast
2022-10-06,7.868795180430239,1.8336466723944804,14.059255784260264,Viral Spike,20251207_2248,forecast
2022-10-07,7.9873046658417595,1.83829087733721,13.857112181298982,Viral Spike,20251207_2248,forecast
2022-10-08,10.574227084764788,3.954187151006991,16.867351736083275,Viral Spike,20251207_2248,forecast
2022-10-09,10.904230837934655,4.968010264153739,16.708197364700638,Viral Spike,20251207_2248,forecast
2022-10-10,8.000164486045316,1.8271525434064784,14.389908261216602,Viral Spike,20251207_2248,forecast
2022-10-11,8.226041364091477,1.8640569654201111,14.171653528572072,Viral Spike,20251207_2248,forecast
2022-10-12,8.745973157724467,3.1495302969294996,14.952789727347646,Viral Spike,20251207_2248,forecast
2022-10-13,8.794753898840222,2.98766296618797,14.899910108693105,Viral Spike,20251207_2248,forecast
2022-10-14,8.863853704633517,2.225044777488299,14.98652041387964,Viral Spike,20251207_2248,forecast
2022-10-15,11.39050179942034,4.982089464848852,17.885165022488014,Viral Spike,20251207_2248,forecast
2022-10-16,11.622708251920677,5.7983252354570665,18.014666391682763,Viral Spike,20251207_2248,forecast
2022-10-17,8.581103582388447,2.589534238545539,13.968404247007546,Viral Spike,20251207_2248,forecast
2022-10-18,8.674170104354324,2.3326979653350315,14.825469873810128,Viral Spike,20251207_2248,forecast
2022-10-19,9.053425619695142,2.9042673475828713,14.949162009567223,Viral Spike,20251207_2248,forecast
2022-10-20,8.954474292548923,2.936672791688461,15.53414991486204,Viral Spike,20251207_2248,forecast
