sku,run_id,n_train,n_test,test_mae,test_rmse,test_mape_pct,test_bias,test_coverage_pct
Cannibalized,20251207_1928,1059,30,2.761802284595872,3.4294318102326695,58.274511037366686,0.15381574031032894,66.66666666666666
Classic Seasonal,20251207_1928,1429,30,3.750894270964174,5.527381802917069,18.06957594215112,-1.8233700641701247,90.0
Discontinued,20251207_1928,754,30,4.434299779606906,5.569983249219748,12.063337294421597,1.0289027740672236,76.66666666666667
Flagship Growth,20251207_1928,1425,30,10.975906829083312,14.616035751118298,12.589065874869473,0.9938055073572094,66.66666666666666
Promo Dependent,20251207_1928,1210,30,3.018542281165077,4.002934421163334,70.93771864333107,1.1316225313568544,56.666666666666664
Slow Decliner,20251207_1928,1296,30,3.6378554888125034,7.173164478964154,71.43926082929396,-0.9002375841730489,90.0
Supply Disrupted,20251207_1928,1422,29,3.8531584317189105,5.06765259351345,22.251656994283895,3.15302350155699,82.75862068965517
Viral Spike,20251207_1928,1014,30,4.213514334217938,5.137795234176177,33.34160269793529,1.9952690824771642,76.66666666666667
